Repo,Owner,Z,T_X_n,Percentile_95,MeanInterval(days),SDInterval,Label,TimeSinceLastCommit(days),Status,Last_Commit_Date
linux-insides,0xAX,9252379.0,5226272.0,7554093.6,13.69431872605364,2589807.007823152,alive,60.489259259259256,False,2023-09-01T12:15:28Z
Kuai-Shua-Questions,350306878,64032394.0,4638526.0,39589406.599999964,59.17990301724137,15111065.19143117,alive,53.686643518518515,False,2023-09-08T07:31:14Z
jQuery,aamirafridi,64920542.0,25886232.0,38042486.59999989,64.75274265644956,15752845.558936993,alive,299.6091666666667,False,2013-01-08T15:37:50Z
lottie-android,airbnb,4840517.0,157247.0,2112090.999999998,5.897906689016603,1027027.6527387776,alive,1.819988425925926,True,2024-03-04T03:38:42Z
qemu_blog,airbus-seclab,24165616.0,13280964.0,21690479.699999996,51.195906635802466,8593245.095558127,alive,153.7148611111111,False,2023-11-03T11:07:43Z
vux,airyland,25317099.0,11114467.0,13818460.199999986,25.340280172413795,5623290.430882758,alive,128.63966435185185,False,2023-06-25T08:40:50Z
awesome-java,akullpp,8377543.0,303519.0,6622213.999999993,9.345566331417626,2219837.863690482,alive,3.512951388888889,True,2024-02-24T10:06:36Z
Alamofire,Alamofire,2999427.0,447125.0,2151970.599999998,5.904027378671775,809944.2525039469,alive,5.17505787037037,True,2024-03-04T02:17:59Z
QSimpleUpdater,alex-spataru,22821404.0,1578615.0,19527508.799999993,56.11769436462324,6551253.024622886,alive,18.271006944444444,True,2024-03-15T17:47:39Z
skill-sample-nodejs-quiz-game,alexa-samples,82848861.0,17023593.0,19585149.199999977,57.62384418901661,15861198.246063381,alive,197.0323263888889,False,2023-04-17T23:13:27Z
test-repo,Alexander-MacDonald,2495195.0,31.0,2000579.9999999995,5.829761574074074,1113324.1982002817,alive,0.0003587962962962963,False,2023-11-07T19:47:32Z
weex,alibaba,28443086.0,6008546.0,15587101.999999994,35.76477051404853,6333089.531172145,alive,69.54335648148148,False,2023-08-23T10:57:34Z
org-ql,alphapapa,1464688.0,574159.0,585480.9999999992,1.6031653097062581,303756.92319736525,alive,6.645358796296296,True,2024-02-22T02:00:39Z
quickbox-lite,amefs,5599191.0,465959.0,4154436.799999997,10.645938697318007,1519890.1944633874,alive,5.3930439814814815,verify,2024-01-12T09:01:11Z
android-interview-questions,amitshekhariitbhu,8710656.0,2542025.0,4056390.399999997,10.459485552362707,1842919.2869997935,alive,29.42158564814815,True,2024-03-06T05:07:41Z
ui-router,angular-ui,43337578.0,16983684.0,22202169.799999963,34.567375878033204,9657419.727381073,alive,196.57041666666666,False,2023-04-18T10:18:36Z
angular-starter,AngularClass,52215104.0,2083609.0,20565065.799999993,70.39400143678161,11241414.477746682,alive,24.115844907407407,False,2023-10-07T21:13:11Z
material2,angular,241162.0,22104.0,140172.19999999984,0.4329545817369093,54282.524457624575,alive,0.25583333333333336,True,2024-03-15T17:24:43Z
ApiV2-GraphQL-Docs,AniList,31726519.0,23505340.0,26169608.199999996,61.403774345466154,9112428.34152602,alive,272.05254629629627,False,2023-02-01T22:44:20Z
redis,antirez,249753.0,34794.0,215432.19999999995,0.9015760696040869,74979.2350292823,alive,0.40270833333333333,True,2024-03-13T15:02:00Z
InterviewQuestions,anujdevopslearn,9555506.0,2143736.0,5847149.599999994,18.81402498403576,2298577.3411882813,alive,24.811759259259258,False,2023-10-07T04:31:04Z
qpid-proton,apache,2538225.0,83306.0,1625810.7999999982,4.289320721583652,596109.248407724,alive,0.9641898148148148,True,2024-02-26T18:13:55Z
classroom-queries-debug-v1,appdev-projects,80982283.0,7788514.0,63331023.0,183.00810570987656,32172694.815201297,alive,90.14483796296297,False,2023-11-07T22:59:52Z
msm-queries-v1,appdev-projects,50573372.0,7788500.0,34494914.39999998,82.89910108024691,16632941.723442946,alive,90.14467592592592,False,2023-11-07T23:00:40Z
refactoring-msm-queries-1-v1,appdev-projects,43922103.0,7788457.0,25891383.999999974,93.80357947530864,11075441.765885584,alive,90.14417824074074,False,2023-11-07T23:01:56Z
refactoring-msm-queries-2,appdev-projects,19391200.0,7788453.0,17567877.799999997,72.86479398148148,6069351.547970404,alive,90.14413194444444,False,2023-11-07T23:02:01Z
swift-evolution,apple,294962.0,5770.0,245111.99999999994,0.7593259099616858,83987.6443985556,alive,0.0667824074074074,True,2024-03-14T03:19:15Z
git-quick-stats,arzzen,23070138.0,632820.0,13087406.399999993,30.634506704980843,5349455.999348583,alive,7.324305555555555,verify,2024-01-10T07:13:40Z
ava,avajs,2497067.0,734588.0,2092895.5999999985,4.2702430555555555,718246.3071325681,alive,8.502175925925926,True,2024-02-28T20:54:32Z
awesome-go,avelino,706038.0,70596.0,396498.3999999995,0.9754761334610472,163021.33675791472,alive,0.8170833333333334,True,2024-03-15T15:52:57Z
quickstart-aws-vpc,aws-quickstart,35097047.0,71664.0,1321692.9999999967,15.181061621966796,6507949.918301642,alive,0.8294444444444444,False,2023-10-31T04:05:36Z
quickstart-linux-bastion,aws-quickstart,15988724.0,71662.0,4216150.59999999,10.117648068326947,3129404.6764849857,alive,0.8294212962962964,False,2023-10-31T04:05:38Z
qnabot-on-aws,aws-solutions,4674978.0,622597.0,3564347.799999996,6.44889527458493,1214394.7975248115,alive,7.205983796296296,verify,2024-01-04T16:40:41Z
s2n-quic,aws,571896.0,446362.0,505524.8,1.6580795019157089,177209.68828217746,alive,5.166226851851852,True,2024-03-14T14:14:50Z
azure-search-openai-demo,Azure-Samples,252798.0,69694.0,218298.7999999998,0.635882024265645,67798.210069809,alive,0.8066435185185186,True,2024-03-15T17:55:34Z
cognitive-services-quickstart-code,Azure-Samples,5114766.0,3722082.0,3748383.1999999993,7.693284243295019,1402781.4507569713,alive,43.07965277777778,verify,2024-02-14T15:43:45Z
msdocs-python-django-webapp-quickstart,Azure-Samples,18399717.0,2862544.0,11418718.39999999,21.112904693486588,4386826.197711014,alive,33.1312962962963,verify,2024-01-08T16:07:39Z
BaconQrCode,Bacon,23497890.0,4863406.0,14939172.199999958,20.094517480842914,5955802.222152254,alive,56.2894212962963,True,2024-03-05T16:15:33Z
sails,balderdashy,7858529.0,5193200.0,6531652.199999998,18.339153895274585,2262355.4792422233,alive,60.10648148148148,True,2024-03-15T15:42:52Z
QtScrcpy,barry-ran,18710904.0,800649.0,6924920.399999983,14.849810823754789,3868813.128008495,alive,9.266770833333334,True,2024-02-25T09:56:37Z
trix,basecamp,2509081.0,738836.0,1219295.1999999993,3.9682822477650066,553911.7588537595,alive,8.551342592592592,True,2024-02-21T10:29:38Z
ruby-style-guide,bbatsov,7622295.0,244256.0,6401187.799999997,18.951200510855685,2289483.536258293,alive,2.8270370370370372,verify,2024-01-13T10:43:31Z
frontend-interview-questions,bcherny,119649978.0,24520818.0,33901469.299999975,89.15504126409019,25715154.718118846,alive,283.80576388888886,False,2023-01-21T04:39:42Z
bee-queue,bee-queue,12190089.0,165719.0,238857.59999999945,5.053212803320562,2261436.0771818757,alive,1.9180439814814816,True,2024-03-13T00:39:14Z
postgrest,begriffs,524360.0,92248.0,287655.7999999999,1.213496567688378,114822.19700424554,alive,1.0676851851851852,True,2024-03-15T16:53:29Z
jQuery-Touch-Events,benmajor,75068779.0,18028971.0,30372433.999999955,61.44091075989783,15558906.413024781,alive,208.66864583333333,False,2023-04-06T07:57:09Z
Hunting-Queries-Detection-Rules,Bert-JanP,429843.0,110688.0,411654.3999999999,1.134835169220945,126382.19349617233,alive,1.281111111111111,True,2024-03-12T20:58:23Z
laravel-query-detector,beyondcode,19943864.0,4010038.0,16304465.799999986,44.45507942209451,5649121.863628475,alive,46.41247685185185,False,2023-12-01T20:42:12Z
vue-qr,Binaryify,43397564.0,1979129.0,6546610.79999999,25.29228647828863,8118257.504527688,alive,22.90658564814815,False,2023-10-09T02:14:31Z
SmtpClient-for-Qt,bluetiger9,154370986.0,2873823.0,12391644.599999994,79.65946280332057,28549992.086949352,alive,33.26184027777778,verify,2024-01-09T11:35:39Z
frontend-guidelines-questionnaire,bradfrost,137909864.0,11256353.0,54543018.39999983,93.7912196679438,29694350.534243308,alive,130.28186342592593,False,2023-06-23T17:14:07Z
qwik,BuilderIO,279449.0,2179.0,175486.39999999994,0.4229912994891444,67714.51102743583,alive,0.025219907407407406,True,2024-03-15T08:00:58Z
quickcheck,BurntSushi,74145620.0,1851215.0,20393236.99999997,47.18940812579821,14448533.322721178,alive,21.426099537037036,False,2023-10-10T13:46:25Z
c3,c3js,13760692.0,647300.0,12873973.799999997,42.23608516922094,4481324.730081263,alive,7.491898148148148,verify,2024-01-12T05:17:33Z
Cachet,CachetHQ,74463215.0,387203.0,1285894.1999999995,32.385013170498084,13789507.47239032,alive,4.481516203703704,True,2024-03-11T11:20:20Z
You-Dont-Need-jQuery,camsong,35643690.0,17439737.0,22494248.2,44.581914511494254,8383091.767229523,alive,201.84880787037036,False,2023-04-13T03:37:43Z
capistrano,capistrano,11641163.0,1205589.0,8684522.799999993,22.316441570881228,2925842.789888321,alive,13.953576388888889,True,2024-03-10T19:19:21Z
carrierwave,carrierwaveuploader,1866374.0,172304.0,988968.999999999,2.5320977011494255,411428.32154681877,alive,1.9942592592592592,True,2024-03-02T05:20:25Z
Carthage,Carthage,16430953.0,3741399.0,11792523.999999993,29.78441211685824,4298464.856190051,alive,43.30322916666667,False,2023-09-18T16:43:21Z
certbot,certbot,398218.0,1904.0,265413.3999999999,0.7376883780332056,99018.81430743226,alive,0.022037037037037036,verify,2024-02-08T21:31:36Z
Chart,chartjs,3968782.0,126710.0,1236624.599999999,4.787929837164751,777896.989945452,alive,1.466550925925926,Error,
cheerio,cheeriojs,261610.0,72647.0,250111.39999999994,0.6551181353767561,81879.21672124274,alive,0.8408217592592593,True,2024-03-14T03:49:29Z
Ros_Qt5_Gui_App,chengyangkj,2615620.0,116873.0,1078791.1999999993,3.259295977011494,533327.113618574,alive,1.3526967592592594,True,2024-03-14T14:54:21Z
QrCodeScan,chentao0707,193643383.0,90865192.0,109651729.8999998,241.07412615740742,60760157.69023333,alive,1051.680462962963,False,2020-12-14T07:40:08Z
marked,chjj,512907.0,79054.0,236426.79999999996,0.7371607598978288,115936.11416764453,alive,0.9149768518518518,True,2024-03-11T22:34:34Z
qrbtf,ciaochaos,29113012.0,11381340.0,17078510.39999996,28.1073279853129,6923453.929902797,alive,131.72847222222222,True,2024-03-11T18:08:33Z
