Repo,Owner,Z,T_X_n,Percentile_95,MeanInterval(days),SDInterval,Label,TimeSinceLastCommit(days),Status,Last_Commit_Date
campus_recruitmen_questions,0voice,1468386.0,68899153.0,989884.7999999992,1.5886159003831417,360444.8370555985,dead,797.4439004629629,False,2021-08-25T13:20:47Z
CompressorQueue,1Danish-00,31220268.0,32941934.0,19001707.5,41.99426136363636,9370872.153386822,dead,381.27238425925924,verify,2024-01-03T12:12:34Z
developer_quest,2d-inc,6848421.0,122169888.0,6099397.599999997,7.840103767560664,1944423.9945605719,dead,1414.0033333333333,False,2019-12-17T23:55:12Z
QingScan,78778443,7278693.0,12067368.0,6344818.1999999955,9.588466235632183,2044999.7256551094,dead,139.66861111111112,False,2023-11-25T14:53:39Z
iOS-Developer-and-Designer-Interview-Questions,9magnets,52066745.0,202473979.0,11257996.399999976,30.37132543103448,9972051.38526287,dead,2343.4488310185184,False,2017-06-01T13:13:41Z
Leetcode-Questions,AbhishekChourasiya,356.0,123501401.0,356.0,0.004120370370370371,,dead,1429.414363425926,False,2019-12-02T14:03:19Z
Quiz-App-Flutter,abuanwar072,28052746.0,51827304.0,22938332.75,68.84028935185185,11246196.183668591,dead,599.8530555555556,False,2022-03-11T03:31:36Z
node-restful-api-tutorial,academind,126883.0,186837657.0,120851.95,0.7705150462962963,85291.92705350254,dead,2162.4728819444445,False,2017-11-29T12:39:03Z
road-runner-quickstart,acmerobotics,495882.0,873624.0,446981.1999999999,1.811179358237548,150808.377514633,dead,10.11138888888889,True,2024-03-03T06:56:53Z
stacks-queues,AdaGold,28410344.0,49016485.0,15707248.999999998,32.58536478288634,6825954.823733352,dead,567.3204282407407,False,2022-04-12T16:18:35Z
QuSimPy,adamisntdead,38543496.0,166963806.0,9791496.599999994,23.92142760217114,7437324.724993295,dead,1932.4514583333332,False,2018-07-17T13:09:54Z
Columnizer-jQuery-Plugin,adamwulf,74968706.0,80677124.0,41150194.39999995,82.31207335568327,17116428.753871355,dead,933.7630092592592,False,2021-04-11T05:41:16Z
backbone-fundamentals,addyosmani,36341992.0,185787248.0,9445593.39999999,26.13927841634738,6996648.020696504,dead,2150.31537037037,False,2017-12-11T16:25:52Z
QQ,adiew-code,851273.0,244159957.0,703117.5999999996,1.092355124521073,231600.95169734463,dead,2825.9254282407405,False,2016-02-05T01:47:23Z
Daily-Interview-Question,Advanced-Frontend,13667537.0,93912781.0,7003078.799999988,14.89722501596424,2981790.8535769917,dead,1086.9534837962963,False,2020-11-09T01:06:59Z
qbit,advantageous,17727564.0,182494662.0,12179702.999999985,19.65310185185185,4378030.344045433,dead,2112.2067361111112,False,2018-01-18T19:02:18Z
AeroQuad,AeroQuad,100164869.0,224782534.0,8789063.59999997,46.06280970625798,18692966.499589313,dead,2601.649699074074,False,2016-09-16T08:24:26Z
full-stack-interview-questions,aershov24,42510719.0,68824971.0,17681375.199999988,37.04113745210728,8806481.890478808,dead,796.5853125,False,2021-08-26T09:57:09Z
Agora-Flutter-Quickstart,AgoraIO-Community,25747689.0,38869744.0,10389751.999999996,29.931347381864622,5288297.924429497,dead,449.8812962962963,False,2022-08-08T02:50:56Z
enzyme,airbnb,3660036.0,20023556.0,3158845.7999999984,4.493755188378033,1021177.1800193422,dead,231.75412037037037,True,2024-02-23T18:31:14Z
qr-image,alexeyten,51001838.0,164010569.0,24376859.19999996,50.321099537037036,11131724.575277044,dead,1898.270474537037,False,2018-08-20T17:30:31Z
