Repo,Owner,Z,T_X_n,Percentile_95,MeanInterval(days),SDInterval,Label,TimeSinceLastCommit(days)
campus_recruitmen_questions,0voice,1468386.0,68899153.0,57748.88000000003,0.07482689534772868,73483.95405675372,dead,797.4439004629629
linux-insides,0xAX,9252379.0,5226272.0,2072525.4199999867,1.654147241350922,551404.1362297925,unknown,60.489259259259256
CompressorQueue,1Danish-00,31220268.0,32941934.0,28776555.90000001,41.99426136363636,9370872.153386822,unknown,381.27238425925924
developer_quest,2d-inc,6848421.0,122169888.0,500962.8200000006,0.6283623260437375,487803.4636788909,dead,1414.0033333333333
Kuai-Shua-Questions,350306878,64032394.0,4638526.0,52620549.82000006,30.238753454947485,10180867.062828062,alive,53.686643518518515
QingScan,78778443,7278693.0,12067368.0,1233153.850000001,0.8088452428878153,462765.12996869185,unknown,139.66861111111112
Quantumult-X,89996462,4064823.0,297323.0,430090.89999999973,0.5003263998336398,244918.780341338,alive,3.441238425925926
iOS-Developer-and-Designer-Interview-Questions,9magnets,52066745.0,202473979.0,36757206.97999994,20.48470338070629,8236623.975784693,dead,2343.4488310185184
jQuery,aamirafridi,64920542.0,25886232.0,22045622.140000027,12.88267802807224,5722388.916011164,unknown,299.6091666666667
Leetcode-Questions,AbhishekChourasiya,356.0,123501401.0,356.0,0.004120370370370371,,dead,1429.414363425926
Quiz-App-Flutter,abuanwar072,28052746.0,51827304.0,27029863.350000005,68.84028935185185,11246196.183668591,unknown,599.8530555555556
node-restful-api-tutorial,academind,126883.0,186837657.0,125676.79,0.7705150462962963,85291.92705350254,dead,2162.4728819444445
road-runner-quickstart,acmerobotics,17714735.0,873624.0,16251371.280000005,12.270346467391304,2756168.9250972983,alive,10.11138888888889
activeadmin,activeadmin,8826271.0,606109.0,558495.5000000005,0.5823228459998778,190628.24320031598,unknown,7.015150462962963
stacks-queues,AdaGold,76878971.0,49016485.0,41012187.02000025,29.293222067901237,9972821.761363428,unknown,567.3204282407407
QuSimPy,adamisntdead,38543496.0,166963806.0,29657679.359999992,21.108071689113356,6988715.204678048,dead,1932.4514583333332
Columnizer-jQuery-Plugin,adamwulf,74968706.0,80677124.0,41150194.39999985,26.76564355135277,8544933.635054188,unknown,933.7630092592592
backbone-fundamentals,addyosmani,36341992.0,185787248.0,1794634.650000002,1.6097463775538075,1089816.5917984257,dead,2150.31537037037
QQ,adiew-code,3740076.0,244159957.0,1570604.9499999941,1.0581590249888444,375431.79215967667,dead,2825.9254282407405
Daily-Interview-Question,Advanced-Frontend,13667537.0,93912781.0,3003633.0,2.6278717537258376,1074077.630131853,dead,1086.9534837962963
qbit,advantageous,17727564.0,182494662.0,591294.8999999964,0.7235599315807649,609441.6668370963,dead,2112.2067361111112
AeroQuad,AeroQuad,100164869.0,224782534.0,1006703.7400000013,1.806633730377729,2627781.604726096,dead,2601.649699074074
full-stack-interview-questions,aershov24,42510719.0,68824971.0,34476363.92000002,29.037224099099102,7880456.552549835,unknown,796.5853125
AFNetworking,AFNetworking,65557309.0,24812998.0,1452639.4199999992,1.4437371320522017,1372384.75573591,unknown,287.18747685185184
Agora-Flutter-Quickstart,AgoraIO-Community,25747689.0,38869744.0,14796519.75,16.85062195419103,3596425.5901096147,unknown,449.8812962962963
enzyme,airbnb,24109070.0,20023556.0,1513636.9000000057,1.3784003950494501,679646.0440501489,unknown,231.75412037037037
javascript,airbnb,9665828.0,6167766.0,2272759.999999988,2.0094986592234108,531699.8111119327,unknown,71.38618055555555
lottie-android,airbnb,6212738.0,157247.0,2152106.7599999756,1.7139337619581194,434100.05163116433,alive,1.819988425925926
lottie-ios,airbnb,15959705.0,960380.0,2358349.310000001,2.289223113388948,676122.000635413,alive,11.115509259259259
qemu_blog,airbus-seclab,24165616.0,13280964.0,23670588.74,51.195906635802466,8593245.095558127,alive,153.7148611111111
vux,airyland,34570447.0,11114467.0,772872.2399999854,1.0221386854951184,990397.9385823059,unknown,128.63966435185185
video-quality,aizvorski,118991936.0,78483197.0,106999434.39999999,154.0364556100218,30333683.87468437,alive,908.3703356481482
ace,ajaxorg,9323013.0,135904.0,605532.1599999979,0.5729471711384984,181912.00868286812,alive,1.572962962962963
awesome-java,akullpp,9444133.0,303519.0,2946461.5,2.0581838518182023,644698.3067869414,alive,3.512951388888889
Alamofire,Alamofire,8360313.0,447125.0,2568626.0000000014,2.094927559659287,556155.8435044163,alive,5.17505787037037
QSimpleUpdater,alex-spataru,25583517.0,1578615.0,25107003.68000001,27.920723626938905,5410218.326053352,alive,18.271006944444444
skill-sample-nodejs-quiz-game,alexa-samples,82848861.0,17023593.0,19178270.440000024,15.441516283524903,7341993.02691407,alive,197.0323263888889
test-repo,Alexander-MacDonald,2495195.0,31.0,2396272.0,5.829761574074074,1113324.1982002817,alive,0.0003587962962962963
qr-image,alexeyten,51001838.0,164010569.0,41480116.0,32.17945783405955,8571946.835133,dead,1898.270474537037
WikiQuiz,alexgreene,97906508.0,103948453.0,58463423.89999984,29.130383290267012,14913659.314186767,unknown,1203.1070949074074
Algo-Quicksheet,algorhythms,12627398.0,219012536.0,5556718.559999993,3.39335552311866,1218163.1036978562,dead,2534.867314814815
hangzhouYunQi2017ppt,Alibaba-Technology,239541.0,189083575.0,235032.40000000002,1.2029706790123458,89302.02962232531,dead,2188.467303240741
druid,alibaba,2762012.0,1258351.0,993697.4800000004,0.655938016446049,180013.08282983597,unknown,14.564247685185185
dubbo,alibaba,22983438.0,396821.0,434680.2399999999,0.6109643773035388,479380.5658680895,alive,4.5928356481481485
fastjson,alibaba,8259694.0,14924637.0,1422741.7800000005,1.080552166462042,345061.11848376825,unknown,172.73885416666667
QLExpress,alibaba,35595278.0,4571132.0,14267776.50000005,7.221744932813912,2901225.941131306,alive,52.90662037037037
weex,alibaba,28443086.0,6008546.0,236651.74,0.22594265033321953,349362.09187905246,unknown,69.54335648148148
AdminLTE,almasaeed2010,33557439.0,1174737.0,1708712.2300000032,1.3892572091228825,951178.5722507407,alive,13.596493055555555
ZenQ,alphadose,5417638.0,30393305.0,1694593.6400000013,0.9002458582461385,421508.660729276,dead,351.7743634259259
org-ql,alphapapa,15324176.0,574159.0,4960514.020000003,2.513320210074566,1039562.7235520402,alive,6.645358796296296
fullPage,alvarotrigo,10797253.0,13426181.0,2147530.939999993,1.6425524487172873,515966.0347047894,unknown,155.39561342592592
amazeui,amazeui,16680884.0,210165295.0,967167.29,0.7378181240219093,509199.6049048255,dead,2432.4686921296297
aws-cognito-angular-quickstart,amazon-archives,31612009.0,111639572.0,17751310.360000074,10.191558669730883,3512655.63929831,dead,1292.1246759259259
quickbox-lite,amefs,8148720.0,465959.0,4797225.299999995,7.838767149020749,1205540.7879467634,alive,5.3930439814814815
android-interview-questions,amitshekhariitbhu,42773138.0,2542025.0,5273327.500000002,6.252183207417582,2570782.8458883986,alive,29.42158564814815
redux-query,amplitude,32912945.0,4691049.0,12589786.240000024,6.162522560502004,2625424.847536433,alive,54.29454861111111
javascript-interview-questions,anburocky3,985908.0,74374237.0,927420.0599999998,1.7745674189814815,340764.4420450406,dead,860.8129282407407
androidannotations,androidannotations,48180739.0,44793803.0,1489127.8399999987,1.4244124450695155,1106489.4688106338,unknown,518.4467939814815
bootstrap,angular-ui,21349060.0,190797878.0,689131.5199999996,0.8855803403850279,490803.9879488749,dead,2208.3087731481482
ui-router,angular-ui,43337578.0,16983684.0,1880181.64,1.7648936768431165,1238606.1632973955,unknown,196.57041666666666
angular-starter,AngularClass,52215104.0,2083609.0,1620025.8500000047,1.7364064294430088,1606658.8017042167,unknown,24.115844907407407
angular,angular,1262738217.0,49018298.0,439093.77999999764,2.1047904074502743,13259242.149460109,unknown,567.341412037037
material,angular,9083513.0,49092094.0,919538.6699999971,0.5741701987709212,258553.0387651047,dead,568.1955324074074
material2,angular,1662882.0,22104.0,301015.6600000007,0.25583947535562784,62033.841628174974,alive,0.25583333333333336
protractor,angular,15790455.0,111727084.0,1544219.4400000006,1.464420067191085,540186.1871731639,dead,1293.1375462962963
quickstart,angular,30786436.0,189334222.0,7739268.080000012,5.922528864611563,2564665.013550258,dead,2191.3683101851852
ApiV2-GraphQL-Docs,AniList,31726519.0,23505340.0,27780567.240000002,23.55752487760749,5745842.319069059,alive,272.05254629629627
DSA-Must-Do-Questions,ankushchimnani,3983112.0,77101634.0,220257.71000000017,0.22194943768436579,210600.78849231568,dead,892.3800231481481
qqgroup-visualization,antime,276.0,175215150.0,275.38,0.0028356481481481483,43.840620433565945,dead,2027.953125
redis,antirez,1863002.0,34794.0,425775.04000000074,0.44883518027868896,89511.9819164123,alive,0.40270833333333333
InterviewQuestions,anujdevopslearn,9555506.0,2143736.0,9132857.229999995,13.609952819573044,2068202.75469736,alive,24.811759259259258
500lines,aosabook,17683743.0,211977496.0,387340.15,0.36270370861987594,319036.306441027,dead,2453.4432407407407
incubator-answer,apache,844127.0,507879.0,191011.01999999664,0.09884653295022362,37576.706398185,unknown,5.878229166666666
qpid-proton,apache,2923003.0,83306.0,891356.9599999988,0.9122786038216103,182031.5865075956,alive,0.9641898148148148
apollo-quick-start,apolloconfig,20501281.0,11400360.0,15797587.799999986,25.476845341435187,3710882.8458197513,alive,131.94861111111112
Quizzler-iOS13,appbrewery,6321838.0,127130012.0,5989465.04,11.249430298353909,2127088.1596770254,dead,1471.412175925926
a-quick-puzzle,appdev-projects,8229748.0,109420337.0,8128616.420000001,15.149410686728395,3024385.14391283,dead,1266.4390856481482
classroom-queries-debug-v1,appdev-projects,80982283.0,7788514.0,77452031.00000001,183.00810570987656,32172694.815201297,alive,90.14483796296297
msm-queries-v1,appdev-projects,50573372.0,7788500.0,47357680.48,82.89910108024691,16632941.723442946,alive,90.14467592592592
refactoring-msm-queries-1-v1,appdev-projects,43922103.0,7788457.0,40315959.19999999,93.80357947530864,11075441.765885584,alive,90.14417824074074
refactoring-msm-queries-2,appdev-projects,19391200.0,7788453.0,19026535.56,72.86479398148148,6069351.547970404,alive,90.14413194444444
swift-evolution,apple,1390085.0,5770.0,524747.6799999999,0.5467318708247487,107834.87241626134,alive,0.0667824074074074
qlbridge,araddon,25882977.0,78720583.0,2284558.4000000344,2.245205660714909,1087381.9175730771,dead,911.1178587962963
qrcode,aralejs,20894058.0,255205242.0,17536858.050000023,10.022040401593454,3226128.019439325,dead,2953.764375
Arduino,arduino,16182937.0,31724618.0,1081598.049999997,0.8508187456679625,325132.4961344113,unknown,367.1830787037037
Back-End-Developer-Interview-Questions,arialdomartini,31938235.0,29060544.0,19305729.04999989,8.026871072011131,3309952.0019273455,unknown,336.3488888888889
phantomjs,ariya,38218024.0,104143912.0,1612419.320000005,1.7815387012907133,1162867.567446726,dead,1205.369351851852
system-design-questions,arpitbbhayani,7321631.0,49245957.0,4513911.8000000045,2.3661757990867582,946763.6059395514,dead,569.9763541666666
qualitymatters,artem-zinnatullin,12292132.0,189320174.0,3720200.49999995,2.534388640873016,1049141.1587311903,dead,2191.2057175925925
qlora,artidoro,2159662.0,8606906.0,975156.8600000044,0.8042057920692431,256902.5115275041,dead,99.61696759259259
node-qt,arturadib,55910182.0,295950250.0,46106596.800000034,38.086795634920634,12189458.75006007,dead,3425.350115740741
git-quick-stats,arzzen,23070138.0,632820.0,11762978.489999931,8.831998098544974,2284593.167936387,alive,7.324305555555555
QRCode,aschuch,7363219.0,218646608.0,6199147.229999993,11.140668402777777,1632665.986356189,dead,2530.632037037037
Competitive-Programming-questions,ashutosh97,29244119.0,94223634.0,3002689.0800000257,2.3381630847208066,1954435.4034494257,dead,1090.5513194444445
Wine-QQ-TIM,askme765cs,18069004.0,183124466.0,11164999.899999972,5.4936049203273045,2759062.8248704337,dead,2119.496134259259
Quick-Chat,aslanyanhaik,34279416.0,124974900.0,20029782.93000004,10.465638604613385,3961054.1998104965,dead,1446.46875
beego,astaxie,22464106.0,90937417.0,855713.1999999987,0.8027201421932828,402036.8333153971,dead,1052.516400462963
build-web-application-with-golang,astaxie,20090208.0,35977056.0,1155042.1199999957,0.7129816710664693,398533.19784184545,unknown,416.4011111111111
CodeQL,ASTTeam,7400989.0,26607858.0,7118590.439999998,5.498732219538379,1367679.1450800726,dead,307.9613194444444
jQuery-Knob,aterrien,24526719.0,248500038.0,11776803.350000035,10.919351426334423,2772175.472978827,dead,2876.1578472222222
_s,Automattic,40981452.0,57722709.0,2578523.8000000124,2.631869104403827,1279684.5334989284,unknown,668.0869097222222
ava,avajs,5209899.0,734588.0,1901043.480000001,1.626322273021151,376879.1533012035,alive,8.502175925925926
awesome-go,avelino,1765918.0,70596.0,648928.8500000003,0.7325897351963457,133912.19898981418,alive,0.8170833333333334
visual-qa,avisingh599,37529818.0,201485347.0,15672676.669999944,8.827243668300653,4587308.610636668,dead,2332.0063310185187
react-native-qrcode-svg,awesomejerry,27919404.0,24692320.0,11530994.869999997,10.038926125151791,3073711.5576090273,unknown,285.7907407407407
quickstart-aws-vpc,aws-quickstart,38804021.0,71664.0,16470551.260000044,14.053160018993353,4226600.069657952,alive,0.8294444444444444
quickstart-linux-bastion,aws-quickstart,15988724.0,71662.0,4160484.959999975,3.8932191599151236,1020514.6593260657,alive,0.8294212962962964
aws-amplify-quick-notes,aws-samples,10549335.0,33962153.0,9716946.869999994,9.806845572301023,1951961.4658593433,dead,393.08047453703705
qnabot-on-aws,aws-solutions,12878654.0,622597.0,1106827.2799999996,0.9386778418331339,397472.2317311164,alive,7.205983796296296
aws-athena-query-federation,awslabs,3609352.0,461077.0,1287642.6999999988,1.3492242552711888,279951.05226903706,alive,5.336539351851852
s2n-quic,aws,1548236.0,446362.0,571432.5600000004,0.9348155876041044,139537.25859876082,alive,5.166226851851852
react-quickly,azat-co,18510707.0,160884944.0,5101166.579999996,2.8621786274911276,1386081.0430830652,dead,1862.0942592592592
azure-search-openai-demo,Azure-Samples,2450426.0,69694.0,697963.0,0.8781319598252737,193000.0007697423,alive,0.8066435185185186
cognitive-services-quickstart-code,Azure-Samples,6173869.0,3722082.0,1660448.6999999858,1.2740109321506379,390461.4841488617,unknown,43.07965277777778
msdocs-python-django-webapp-quickstart,Azure-Samples,18399717.0,2862544.0,16161255.280000012,14.31164146090535,3600620.599861863,alive,33.1312962962963
msdocs-python-flask-webapp-quickstart,Azure-Samples,20222244.0,16972696.0,18837582.660000004,26.175028630604285,5270265.931500826,alive,196.44324074074075
service-fabric-dotnet-quickstart,Azure-Samples,19919417.0,78423706.0,18745163.11,31.828793402777777,5084032.5684528975,dead,907.6817824074074
AzureStack-QuickStart-Templates,Azure,20774603.0,27592353.0,3034137.679999996,2.259362780681378,1101972.4127221764,unknown,319.3559375
