Date,Count
2020-01-01,12862
2020-01-02,12869
2020-01-03,12873
2020-01-04,12878
2020-01-05,12883
2020-01-06,12886
2020-01-07,12888
2020-01-08,12891
2020-01-09,12893
2020-01-10,12895
2020-01-11,12898
2020-01-12,12904
2020-01-13,12905
2020-01-14,12910
2020-01-15,12918
2020-01-16,12923
2020-01-17,12928
2020-01-18,12931
2020-01-19,12937
2020-01-20,12945
2020-01-21,12947
2020-01-22,12952
2020-01-23,12955
2020-01-24,12960
2020-01-25,12964
2020-01-26,12972
2020-01-27,12979
2020-01-28,12983
2020-01-29,12993
2020-01-30,12999
2020-01-31,13002
2020-02-01,13005
2020-02-02,13010
2020-02-03,13015
2020-02-04,13021
2020-02-05,13026
2020-02-06,13033
2020-02-07,13045
2020-02-08,13049
2020-02-09,13053
2020-02-10,13057
2020-02-11,13061
2020-02-12,13068
2020-02-13,13070
2020-02-14,13082
2020-02-15,13088
2020-02-16,13093
2020-02-17,13099
2020-02-18,13101
2020-02-19,13104
2020-02-20,13107
2020-02-21,13112
2020-02-22,13114
2020-02-23,13117
2020-02-24,13121
2020-02-25,13122
2020-02-26,13123
2020-02-27,13126
2020-02-28,13128
2020-02-29,2662
2020-03-01,13138
2020-03-02,13145
2020-03-03,13154
2020-03-04,13158
2020-03-05,13165
2020-03-06,13176
2020-03-07,13183
2020-03-08,13186
2020-03-09,13188
2020-03-10,13195
2020-03-11,13201
2020-03-12,13207
2020-03-13,13215
2020-03-14,13218
2020-03-15,13223
2020-03-16,13236
2020-03-17,13238
2020-03-18,13242
2020-03-19,13249
2020-03-20,13256
2020-03-21,13265
2020-03-22,13268
2020-03-23,13273
2020-03-24,13278
2020-03-25,13284
2020-03-26,13287
2020-03-27,13295
2020-03-28,13298
2020-03-29,13302
2020-03-30,13306
2020-03-31,13313
2020-04-01,13316
2020-04-02,13322
2020-04-03,13326
2020-04-04,13334
2020-04-05,13336
2020-04-06,13344
2020-04-07,13353
2020-04-08,13360
2020-04-09,13364
2020-04-10,13372
2020-04-11,13380
2020-04-12,13386
2020-04-13,13392
2020-04-14,13398
2020-04-15,13403
2020-04-16,13411
2020-04-17,13416
2020-04-18,13421
2020-04-19,13421
2020-04-20,13425
2020-04-21,13432
2020-04-22,13436
2020-04-23,13440
2020-04-24,13441
2020-04-25,13443
2020-04-26,13451
2020-04-27,13454
2020-04-28,13458
2020-04-29,13465
2020-04-30,13471
2020-05-01,13473
2020-05-02,13475
2020-05-03,13478
2020-05-04,13478
2020-05-05,13482
2020-05-06,13486
2020-05-07,13490
2020-05-08,13495
2020-05-09,13499
2020-05-10,13504
2020-05-11,13506
2020-05-12,13510
2020-05-13,13516
2020-05-14,13518
2020-05-15,13525
2020-05-16,13526
2020-05-17,13529
2020-05-18,13532
2020-05-19,13534
2020-05-20,13537
2020-05-21,13544
2020-05-22,13550
2020-05-23,13553
2020-05-24,13558
2020-05-25,13559
2020-05-26,13565
2020-05-27,13573
2020-05-28,13579
2020-05-29,13582
2020-05-30,13587
2020-05-31,13592
2020-06-01,13596
2020-06-02,13600
2020-06-03,13606
2020-06-04,13610
2020-06-05,13614
2020-06-06,13615
2020-06-07,13621
2020-06-08,13626
2020-06-09,13633
2020-06-10,13640
2020-06-11,13645
2020-06-12,13652
2020-06-13,13658
2020-06-14,13662
2020-06-15,13664
2020-06-16,13668
2020-06-17,13670
2020-06-18,13677
2020-06-19,13680
2020-06-20,13684
2020-06-21,13685
2020-06-22,13692
2020-06-23,13694
2020-06-24,13701
2020-06-25,13707
2020-06-26,13712
2020-06-27,13715
2020-06-28,13723
2020-06-29,13726
2020-06-30,13730
2020-07-01,13736
2020-07-02,13745
2020-07-03,13748
2020-07-04,13750
2020-07-05,13754
2020-07-06,13757
2020-07-07,13765
2020-07-08,13767
2020-07-09,13770
2020-07-10,13778
2020-07-11,13785
2020-07-12,13790
2020-07-13,13798
2020-07-14,13807
2020-07-15,13812
2020-07-16,13819
2020-07-17,13826
2020-07-18,13832
2020-07-19,13841
2020-07-20,13843
2020-07-21,13849
2020-07-22,13853
2020-07-23,13856
2020-07-24,13861
2020-07-25,13865
2020-07-26,13870
2020-07-27,13872
2020-07-28,13878
2020-07-29,13883
2020-07-30,13889
2020-07-31,13896
2020-08-01,13902
2020-08-02,13905
2020-08-03,13912
2020-08-04,13914
2020-08-05,13921
2020-08-06,13925
2020-08-07,13928
2020-08-08,13933
2020-08-09,13938
2020-08-10,13945
2020-08-11,13948
2020-08-12,13952
2020-08-13,13958
2020-08-14,13963
2020-08-15,13969
2020-08-16,13972
2020-08-17,13979
2020-08-18,13983
2020-08-19,13993
2020-08-20,13998
2020-08-21,14000
2020-08-22,14003
2020-08-23,14008
2020-08-24,14012
2020-08-25,14014
2020-08-26,14019
2020-08-27,14024
2020-08-28,14032
2020-08-29,14038
2020-08-30,14042
2020-08-31,14045
2020-09-01,14052
2020-09-02,14061
2020-09-03,14071
2020-09-04,14078
2020-09-05,14080
2020-09-06,14084
2020-09-07,14092
2020-09-08,14096
2020-09-09,14100
2020-09-10,14107
2020-09-11,14113
2020-09-12,14117
2020-09-13,14124
2020-09-14,14129
2020-09-15,14132
2020-09-16,14136
2020-09-17,14140
2020-09-18,14147
2020-09-19,14151
2020-09-20,14156
2020-09-21,14162
2020-09-22,14170
2020-09-23,14173
2020-09-24,14173
2020-09-25,14176
2020-09-26,14177
2020-09-27,14181
2020-09-28,14187
2020-09-29,14192
2020-09-30,14199
2020-10-01,14206
2020-10-02,14209
2020-10-03,14213
2020-10-04,14217
2020-10-05,14220
2020-10-06,14228
2020-10-07,14231
2020-10-08,14240
2020-10-09,14241
2020-10-10,14244
2020-10-11,14253
2020-10-12,14257
2020-10-13,14261
2020-10-14,14265
2020-10-15,14271
2020-10-16,14277
2020-10-17,14282
2020-10-18,14285
2020-10-19,14290
2020-10-20,14293
2020-10-21,14298
2020-10-22,14305
2020-10-23,14309
2020-10-24,14318
2020-10-25,14322
2020-10-26,14330
2020-10-27,14332
2020-10-28,14338
2020-10-29,14343
2020-10-30,14347
2020-10-31,14353
2020-11-01,12608
2020-11-02,12612
2020-11-03,12614
2020-11-04,12623
2020-11-05,12630
2020-11-06,12635
2020-11-07,12638
2020-11-08,12642
2020-11-09,12645
