Repo,Owner,Z,T_X_n,Percentile_95,MeanInterval(days),SDInterval,Classification,TimeSinceLastCommit(days),Is_Alive,Status,Last_Commit_Date
Kuai-Shua-Questions,350306878,64032394.00000001,4638526.0,7525429.6999999955,30.238753454947485,10180867.062828064,alive,53.686643518518515,False,False,2023-09-08T07:31:14Z
road-runner-quickstart,acmerobotics,17714735.0,873624.0,4508302.350000002,12.270346467391304,2756168.9250972983,alive,10.11138888888889,True,True,2024-02-21T06:07:37Z
lottie-android,airbnb,6212738.0,157247.0,783679.9999999998,1.7139337619581194,434100.0516311644,alive,1.819988425925926,True,True,2024-02-27T01:57:36Z
lottie-ios,airbnb,15959705.000000002,960380.0,961823.8000000004,2.289223113388948,676122.0006354131,alive,11.115509259259259,True,True,2024-02-21T19:39:58Z
qemu_blog,airbus-seclab,24165616.0,13280964.0,21690479.699999996,51.195906635802466,8593245.09555813,alive,153.7148611111111,False,False,2023-11-03T11:07:43Z
ace,ajaxorg,9323013.0,135904.0,245585.29999999993,0.5729471711384984,181912.008682868,alive,1.572962962962963,True,True,2024-02-23T13:09:33Z
awesome-java,akullpp,9444133.0,303519.0,914180.5,2.0581838518182023,644698.3067869414,alive,3.512951388888889,True,True,2024-02-24T10:06:36Z
Alamofire,Alamofire,8360313.000000001,447125.0,966993.5000000001,2.094927559659287,556155.8435044164,alive,5.17505787037037,True,True,2024-02-25T18:32:07Z
QSimpleUpdater,alex-spataru,25583517.0,1578615.0,15120801.999999983,27.920723626938905,5410218.326053352,alive,18.271006944444444,True,verify,2023-12-18T21:00:33Z
test-repo,Alexander-MacDonald,2495195.0,31.0,2000579.9999999995,5.829761574074074,1113324.1982002817,alive,0.0003587962962962963,False,False,2023-11-07T19:47:32Z
org-ql,alphapapa,15324176.000000002,574159.0,939492.9999999973,2.513320210074566,1039562.7235520396,alive,6.645358796296296,True,True,2024-02-22T02:00:39Z
quickbox-lite,amefs,8148720.000000001,465959.0,3361311.0,7.838767149020749,1205540.787946764,alive,5.3930439814814815,True,verify,2024-01-12T09:01:11Z
android-interview-questions,amitshekhariitbhu,42773138.0,2542025.0,2683181.8999999985,6.252183207417582,2570782.8458883986,alive,29.42158564814815,True,True,2024-02-26T10:31:00Z
material2,angular,1662882.0,22104.0,104040.69999999994,0.25583947535562784,62033.84162817506,alive,0.25583333333333336,True,True,2024-02-27T05:56:23Z
redis,antirez,1863002.0,34794.0,180822.60000000003,0.44883518027868896,89511.98191641248,alive,0.40270833333333333,True,True,2024-02-26T10:50:04Z
InterviewQuestions,anujdevopslearn,9555506.0,2143736.0,6129833.8,13.609952819573044,2068202.7546973603,alive,24.811759259259258,False,False,2023-10-07T04:31:04Z
qpid-proton,apache,2923003.0,83306.0,356572.3999999994,0.9122786038216103,182031.58650759564,alive,0.9641898148148148,True,True,2024-02-26T18:13:55Z
classroom-queries-debug-v1,appdev-projects,80982283.0,7788514.0,63331023.0,183.00810570987656,32172694.815201297,alive,90.14483796296297,False,False,2023-11-07T22:59:52Z
msm-queries-v1,appdev-projects,50573372.0,7788500.0,34494914.39999998,82.89910108024691,16632941.723442946,alive,90.14467592592592,False,False,2023-11-07T23:00:40Z
refactoring-msm-queries-1-v1,appdev-projects,43922103.0,7788457.0,25891383.999999974,93.80357947530864,11075441.765885584,alive,90.14417824074074,False,False,2023-11-07T23:01:56Z
refactoring-msm-queries-2,appdev-projects,19391200.0,7788453.0,17567877.799999997,72.86479398148148,6069351.547970404,alive,90.14413194444444,False,False,2023-11-07T23:02:01Z
swift-evolution,apple,1390085.0,5770.0,255318.09999999963,0.5467318708247487,107834.8724162614,alive,0.0667824074074074,True,True,2024-02-27T04:40:22Z
