owner,repo,fileTuple<fileName.fileSize>
pallets,flask,"('main/.devcontainer/devcontainer.json', 434)"
pallets,flask,"('main/.devcontainer/on-create-command.sh', 170)"
pallets,flask,"('main/.editorconfig', 217)"
pallets,flask,"('main/.flake8', 544)"
pallets,flask,"('main/.github/ISSUE_TEMPLATE/bug-report.md', 607)"
pallets,flask,"('main/.github/ISSUE_TEMPLATE/config.yml', 489)"
pallets,flask,"('main/.github/ISSUE_TEMPLATE/feature-request.md', 416)"
pallets,flask,"('main/.github/SECURITY.md', 914)"
pallets,flask,"('main/.github/dependabot.yml', 167)"
pallets,flask,"('main/.github/pull_request_template.md', 971)"
pallets,flask,"('main/.github/workflows/lock.yaml', 616)"
pallets,flask,"('main/.github/workflows/publish.yaml', 2596)"
pallets,flask,"('main/.github/workflows/tests.yaml', 1870)"
pallets,flask,"('main/.gitignore', 207)"
pallets,flask,"('main/.pre-commit-config.yaml', 1028)"
pallets,flask,"('main/.readthedocs.yaml', 209)"
pallets,flask,"('main/CHANGES.rst', 68048)"
pallets,flask,"('main/CODE_OF_CONDUCT.md', 3358)"
pallets,flask,"('main/CONTRIBUTING.rst', 8000)"
pallets,flask,"('main/LICENSE.rst', 1475)"
pallets,flask,"('main/README.rst', 2063)"
pallets,flask,"('main/docs/Makefile', 634)"
pallets,flask,"('main/docs/_static/debugger.png', 207889)"
pallets,flask,"('main/docs/_static/flask-horizontal.png', 24796)"
pallets,flask,"('main/docs/_static/flask-vertical.png', 16021)"
pallets,flask,"('main/docs/_static/pycharm-run-config.png', 99654)"
pallets,flask,"('main/docs/_static/shortcut-icon.png', 4027)"
pallets,flask,"('main/docs/api.rst', 21704)"
pallets,flask,"('main/docs/appcontext.rst', 5127)"
pallets,flask,"('main/docs/async-await.rst', 5112)"
pallets,flask,"('main/docs/blueprints.rst', 12559)"
pallets,flask,"('main/docs/changes.rst', 45)"
pallets,flask,"('main/docs/cli.rst', 16701)"
pallets,flask,"('main/docs/conf.py', 3238)"
pallets,flask,"('main/docs/config.rst', 24377)"
pallets,flask,"('main/docs/contributing.rst', 33)"
pallets,flask,"('main/docs/debugging.rst', 3462)"
pallets,flask,"('main/docs/deploying/apache-httpd.rst', 2364)"
pallets,flask,"('main/docs/deploying/asgi.rst', 673)"
pallets,flask,"('main/docs/deploying/eventlet.rst', 2405)"
pallets,flask,"('main/docs/deploying/gevent.rst', 2417)"
pallets,flask,"('main/docs/deploying/gunicorn.rst', 4042)"
pallets,flask,"('main/docs/deploying/index.rst', 3186)"
pallets,flask,"('main/docs/deploying/mod_wsgi.rst', 2813)"
pallets,flask,"('main/docs/deploying/nginx.rst', 2316)"
pallets,flask,"('main/docs/deploying/proxy_fix.rst', 1365)"
pallets,flask,"('main/docs/deploying/uwsgi.rst', 4768)"
pallets,flask,"('main/docs/deploying/waitress.rst', 2336)"
pallets,flask,"('main/docs/design.rst', 11074)"
pallets,flask,"('main/docs/errorhandling.rst', 18373)"
pallets,flask,"('main/docs/extensiondev.rst', 12781)"
pallets,flask,"('main/docs/extensions.rst', 1372)"
pallets,flask,"('main/docs/index.rst', 2052)"
pallets,flask,"('main/docs/installation.rst', 3771)"
pallets,flask,"('main/docs/license.rst', 71)"
pallets,flask,"('main/docs/lifecycle.rst', 8947)"
pallets,flask,"('main/docs/logging.rst', 5910)"
pallets,flask,"('main/docs/make.bat', 760)"
pallets,flask,"('main/docs/patterns/appdispatch.rst', 6507)"
pallets,flask,"('main/docs/patterns/appfactories.rst', 4096)"
pallets,flask,"('main/docs/patterns/caching.rst', 653)"
pallets,flask,"('main/docs/patterns/celery.rst', 8670)"
pallets,flask,"('main/docs/patterns/deferredcallbacks.rst', 1848)"
pallets,flask,"('main/docs/patterns/favicon.rst', 2071)"
pallets,flask,"('main/docs/patterns/fileuploads.rst', 7297)"
pallets,flask,"('main/docs/patterns/flashing.rst', 4536)"
pallets,flask,"('main/docs/patterns/index.rst', 961)"
pallets,flask,"('main/docs/patterns/javascript.rst', 8964)"
pallets,flask,"('main/docs/patterns/jquery.rst', 96)"
pallets,flask,"('main/docs/patterns/lazyloading.rst', 3847)"
pallets,flask,"('main/docs/patterns/methodoverrides.rst', 1456)"
pallets,flask,"('main/docs/patterns/mongoengine.rst', 2858)"
pallets,flask,"('main/docs/patterns/packages.rst', 4105)"
pallets,flask,"('main/docs/patterns/requestchecksum.rst', 1861)"
pallets,flask,"('main/docs/patterns/singlepageapplications.rst', 731)"
pallets,flask,"('main/docs/patterns/sqlalchemy.rst', 7294)"
pallets,flask,"('main/docs/patterns/sqlite3.rst', 4956)"
pallets,flask,"('main/docs/patterns/streaming.rst', 2635)"
pallets,flask,"('main/docs/patterns/subclassing.rst', 676)"
pallets,flask,"('main/docs/patterns/templateinheritance.rst', 2197)"
pallets,flask,"('main/docs/patterns/urlprocessors.rst', 4306)"
pallets,flask,"('main/docs/patterns/viewdecorators.rst', 6318)"
pallets,flask,"('main/docs/patterns/wtforms.rst', 4709)"
pallets,flask,"('main/docs/quickstart.rst', 32281)"
pallets,flask,"('main/docs/reqcontext.rst', 9334)"
pallets,flask,"('main/docs/security.rst', 10737)"
pallets,flask,"('main/docs/server.rst', 3654)"
pallets,flask,"('main/docs/shell.rst', 3646)"
pallets,flask,"('main/docs/signals.rst', 6187)"
pallets,flask,"('main/docs/templating.rst', 7787)"
pallets,flask,"('main/docs/testing.rst', 10448)"
pallets,flask,"('main/docs/tutorial/blog.rst', 11387)"
pallets,flask,"('main/docs/tutorial/database.rst', 6719)"
pallets,flask,"('main/docs/tutorial/deploy.rst', 3699)"
pallets,flask,"('main/docs/tutorial/factory.rst', 5921)"
pallets,flask,"('main/docs/tutorial/flaskr_edit.png', 13259)"
pallets,flask,"('main/docs/tutorial/flaskr_index.png', 11675)"
pallets,flask,"('main/docs/tutorial/flaskr_login.png', 7455)"
pallets,flask,"('main/docs/tutorial/index.rst', 2061)"
pallets,flask,"('main/docs/tutorial/install.rst', 2838)"
pallets,flask,"('main/docs/tutorial/layout.rst', 2942)"
pallets,flask,"('main/docs/tutorial/next.rst', 1631)"
pallets,flask,"('main/docs/tutorial/static.rst', 3170)"
pallets,flask,"('main/docs/tutorial/templates.rst', 6961)"
pallets,flask,"('main/docs/tutorial/tests.rst', 18265)"
pallets,flask,"('main/docs/tutorial/views.rst', 10920)"
pallets,flask,"('main/docs/views.rst', 10270)"
pallets,flask,"('main/examples/celery/README.md', 950)"
pallets,flask,"('main/examples/celery/make_celery.py', 102)"
pallets,flask,"('main/examples/celery/pyproject.toml', 351)"
pallets,flask,"('main/examples/celery/requirements.txt', 1073)"
pallets,flask,"('main/examples/celery/src/task_app/__init__.py', 1019)"
pallets,flask,"('main/examples/celery/src/task_app/tasks.py', 484)"
pallets,flask,"('main/examples/celery/src/task_app/templates/index.html', 2909)"
pallets,flask,"('main/examples/celery/src/task_app/views.py', 954)"
pallets,flask,"('main/examples/javascript/.gitignore', 119)"
pallets,flask,"('main/examples/javascript/LICENSE.rst', 1475)"
pallets,flask,"('main/examples/javascript/README.rst', 1086)"
pallets,flask,"('main/examples/javascript/js_example/__init__.py', 97)"
pallets,flask,"('main/examples/javascript/js_example/templates/base.html', 1178)"
pallets,flask,"('main/examples/javascript/js_example/templates/fetch.html', 852)"
pallets,flask,"('main/examples/javascript/js_example/templates/jquery.html', 666)"
pallets,flask,"('main/examples/javascript/js_example/templates/xhr.html', 933)"
pallets,flask,"('main/examples/javascript/js_example/views.py', 438)"
pallets,flask,"('main/examples/javascript/pyproject.toml', 662)"
pallets,flask,"('main/examples/javascript/tests/conftest.py', 216)"
pallets,flask,"('main/examples/javascript/tests/test_js_example.py', 725)"
pallets,flask,"('main/examples/tutorial/.gitignore', 119)"
pallets,flask,"('main/examples/tutorial/LICENSE.rst', 1475)"
