Rk;Player;Pos;Tm;PER;WS/48;VORP
1;Precious Achiuwa;C;TOR;12.7;0.07;-0.2
2;Steven Adams;C;MEM;17.6;0.163;2
3;Bam Adebayo;C;MIA;21.8;0.188;2.7
4;Santi Aldama;PF;MEM;10.2;0.044;-0.3
5;LaMarcus Aldridge;C;BRK;19.6;0.141;0.7
6;Nickeil Alexander-Walker;SG;TOT;10.5;0.003;-0.3
7;Grayson Allen;SG;MIL;12.7;0.11;1.1
8;Jarrett Allen;C;CLE;23;0.225;2.7
9;Jose Alvarado;PG;NOP;16.4;0.121;0.8
10;Justin Anderson;SF;TOT;10.4;0.054;-0.1
11;Kyle Anderson;PF;MEM;14.4;0.113;1.2
12;Giannis Antetokounmpo;PF;MIL;32.1;0.281;7.4
13;Thanasis Antetokounmpo;SF;MIL;12.5;0.095;-0.2
14;Carmelo Anthony;PF;LAL;14.8;0.097;0.7
15;Cole Anthony;PG;ORL;13.5;0.038;0.4
16;OG Anunoby;SF;TOR;14.8;0.104;1.1
17;Ryan Arcidiacono;PG;NYK;6.1;0.052;-0.1
18;Trevor Ariza;SF;LAL;7;0.02;-0.2
19;D.J. Augustin;PG;TOT;9.7;0.043;-0.4
20;Deni Avdija;SF;WAS;11.6;0.058;0.1
21;Joel Ayayi;SG;WAS;3.4;-0.098;0
22;Deandre Ayton;C;PHO;21.9;0.203;2.1
23;Udoka Azubuike;C;UTA;17.6;0.157;0
24;Marvin Bagley III;PF;TOT;15.7;0.085;-0.1
25;LaMelo Ball;PG;CHO;19.7;0.116;3.3
26;Lonzo Ball;PG;CHI;14.5;0.088;1.4
27;Mo Bamba;C;ORL;16.5;0.118;1.2
28;Desmond Bane;SG;MEM;17.6;0.153;2.7
29;Dalano Banton;PG;TOR;10;0.03;-0.2
30;Cat Barber;PG;ATL;-11.2;-0.45;-0.1
31;Harrison Barnes;PF;SAC;15.7;0.112;1.4
32;Scottie Barnes;PF;TOR;16.3;0.122;1.9
33;RJ Barrett;SF;NYK;13.7;0.046;0.2
34;Will Barton;SG;DEN;13.4;0.067;0.9
35;Paris Bass;SF;PHO;13.9;-0.17;0
36;Charles Bassey;C;PHI;21.5;0.22;0.2
37;Keita Bates-Diop;SF;SAS;12.4;0.08;-0.1
38;Nicolas Batum;PF;LAC;13.5;0.123;1.6
39;Kent Bazemore;SF;LAL;6;0.006;-0.3
40;Darius Bazley;PF;OKC;12.6;0.044;0.1
41;Bradley Beal;SG;WAS;17.5;0.046;1
42;Malik Beasley;SG;MIN;11.9;0.069;0.7
43;Jordan Bell;C;CHI;29.9;0.6;0
44;DeAndre' Bembry;SF;TOT;11.9;0.104;0.3
45;Dāvis Bertāns;PF;TOT;9.4;0.053;-0.1
46;Patrick Beverley;PG;MIN;14.8;0.132;1.7
47;Saddiq Bey;SF;DET;14;0.071;1.2
48;Khem Birch;C;TOR;13.2;0.126;0.2
49;Goga Bitadze;C;IND;18;0.122;0.2
50;Bismack Biyombo;C;PHO;17.3;0.17;0.1
51;Nemanja Bjelica;C;GSW;14.2;0.128;1
52;Eric Bledsoe;PG;LAC;12.5;0.047;0.4
53;Keljin Blevins;SF;POR;4.8;-0.066;-0.6
54;Bogdan Bogdanović;SG;ATL;15.4;0.095;1.5
55;Bojan Bogdanović;PF;UTA;15.7;0.118;1.1
56;Bol Bol;PF;DEN;13.5;0.065;0
57;Leandro Bolmaro;SF;MIN;5.4;0.004;-0.2
58;Isaac Bonga;SF;TOR;8.7;0.06;0
59;Devin Booker;SG;PHO;21.3;0.156;3.6
60;Brandon Boston Jr.;SG;LAC;11.2;0.026;-0.3
61;Chris Boucher;SF;TOR;17.9;0.169;0.9
62;James Bouknight;SG;CHO;10.1;0.001;-0.4
63;Avery Bradley;SG;LAL;7.8;0.04;-0.6
64;Tony Bradley;C;CHI;14.9;0.112;0
65;Ignas Brazdeikis;SF;ORL;10.2;0.041;-0.3
66;Mikal Bridges;SF;PHO;14.4;0.15;2.6
67;Miles Bridges;PF;CHO;17.9;0.123;2.5
