Rk;Player;Tm;Salary
1;Stephen Curry;GSW;48070014
2;Russell Westbrook;LAL;47063478
3;LeBron James;LAL;44474988
4;Kevin Durant;BRK;44119845
5;Bradley Beal;WAS;43279250
6;Damian Lillard;POR;42492492
7;Giannis Antetokounmpo;MIL;42492492
8;Kawhi Leonard;LAC;42492492
9;Paul George;LAC;42492492
10;John Wall;HOU;47345760
11;Klay Thompson;GSW;40600080
12;Rudy Gobert;MIN;38172414
13;Anthony Davis;LAL;37980720
14;Khris Middleton;MIL;37948276
15;Jimmy Butler;MIA;37653300
16;Tobias Harris;PHI;37633050
17;Luka Dončić;DAL;37096500
18;Trae Young;ATL;37096500
19;Zach LaVine;CHI;37096500
20;Kyrie Irving;BRK;36934550
21;Ben Simmons;BRK;35448672
22;Pascal Siakam;TOR;35448672
23;Devin Booker;PHO;33833400
24;Karl-Anthony Towns;MIN;33833400
25;Kristaps Porziņģis;WAS;33833400
26;Jrue Holiday;MIL;33665040
27;Joel Embiid;PHI;33616770
28;Andrew Wiggins;GSW;33616770
29;CJ McCollum;NOP;33333333
30;Nikola Jokić;DEN;33047803
31;James Harden;PHI;33000000
32;Brandon Ingram;NOP;31650600
33;Jamal Murray;DEN;31650600
34;D'Angelo Russell;MIN;31377750
35;Shai Gilgeous-Alexander;OKC;30913750
36;Michael Porter Jr.;DEN;30913750
37;Deandre Ayton;PHO;30913750
38;De'Aaron Fox;SAC;30351780
39;Bam Adebayo;MIA;30351780
40;Donovan Mitchell;CLE;30351780
41;Jayson Tatum;BOS;30351780
42;Gordon Hayward;CHO;30075000
43;Jaren Jackson Jr.;MEM;28946605
44;Kevin Love;CLE;28942830
45;Jaylen Brown;BOS;28741071
46;Chris Paul;PHO;28400000
47;Kyle Lowry;MIA;28333334
48;Jalen Brunson;NYK;27733332
49;Kemba Walker;OKC;9165471
50;DeMar DeRozan;CHI;27300000
51;Al Horford;BOS;26500000
52;Draymond Green;GSW;25806468
53;Julius Randle;NYK;23760000
54;John Collins;ATL;23500000
55;Mike Conley;UTA;22680000
56;Malcolm Brogdon;BOS;22600000
57;Anfernee Simons;POR;22321429
58;Nikola Vučević;CHI;22000000
59;Terry Rozier;CHO;21486316
60;Fred VanVleet;TOR;21250000
61;Buddy Hield;IND;21177750
62;Jerami Grant;POR;20955000
63;Spencer Dinwiddie;DAL;20171427
64;Mikal Bridges;PHO;20100000
65;Jarrett Allen;CLE;20000000
66;Aaron Gordon;DEN;19690909
67;Tim Hardaway Jr.;DAL;19602273
68;Eric Gordon;HOU;19568360
69;Bojan Bogdanović;DET;19550000
70;Lonzo Ball;CHI;19534884
71;Caris LeVert;CLE;18796296
72;Clint Capela;ATL;18706896
73;Joe Harris;BRK;18642857
74;Domantas Sabonis;SAC;18500000
75;Harrison Barnes;SAC;18352273
76;Evan Fournier;NYK;18000000
77;Myles Turner;IND;18000000
78;Bogdan Bogdanović;ATL;18000000
79;Steven Adams;MEM;17926829
80;Gary Trent Jr.;TOR;17505000
81;Jonathan Isaac;ORL;17400000
82;OG Anunoby;TOR;17357143
83;Marcus Smart;BOS;17207142
84;Mitchell Robinson;NYK;17045454
85;Duncan Robinson;MIA;16902000
86;Derrick White;BOS;16892857
87;Norman Powell;LAC;16758621
88;Dejounte Murray;ATL;16571120
89;Markelle Fultz;ORL;16500000
90;Lauri Markkanen;UTA;16475454
91;Marcus Morris;LAC;16372093
92;Dāvis Bertāns;DAL;16000000
93;Jusuf Nurkić;POR;15625000
94;Malik Beasley;UTA;15558035
95;Luguentz Dort;OKC;15277778
96;Tyus Jones;MEM;15000000
97;Jonas Valančiūnas;NOP;14700000
98;Derrick Rose;NYK;14520730
99;Kevin Huerter;SAC;14508929
100;Luke Kennard;LAC;14415545
101;Will Barton;WAS;14375000
102;Christian Wood;DAL;14317459
103;Wendell Carter Jr.;ORL;14150000
104;Kentavious Caldwell-Pope;DEN;14004703
105;Brook Lopez;MIL;13906976
106;Doug McDermott;SAS;13750000
107;Zion Williamson;NOP;13534817
108;Jordan Clarkson;UTA;13340000
109;Kyle Kuzma;WAS;13000000
110;Gary Harris;ORL;13000000
111;Patrick Beverley;LAL;13000000
112;Josh Hart;POR;12960000
113;Kelly Olynyk;UTA;12804878
114;Chris Boucher;TOR;12690000
115;Kelly Oubre Jr.;CHO;12600000
116;Marvin Bagley III;DET;12500000
117;Dorian Finney-Smith;DAL;12402000
118;Robert Covington;LAC;12307692
119;Josh Richardson;SAS;12196094
120;Ja Morant;MEM;12119440
121;Devonte' Graham;NOP;11550000
122;Terrence Ross;ORL;11500000
123;Dillon Brooks;MEM;11400000
124;Richaun Holmes;SAC;11215260
125;Reggie Jackson;LAC;11215260
126;Dwight Powell;DAL;11080125
127;Paolo Banchero;ORL;11055120
128;Robert Williams;BOS;10937502
129;RJ Barrett;NYK;10900635
130;Bobby Portis;MIL;10843350
131;Nicolas Batum;LAC;19700319
132;Anthony Edwards;MIN;10733400
